 image , TTC/Lidar ,FAST/BRIEF  TTC/Camera , FAST ORB TTC/Camera ,FAST BRISK  TTC/Camera 
1,12.5156,12.366,12.5,12.478
2,12.6142,13.0198,12.2522,12.0628
3,14.091,20.9822,23.8513,18.6598
4,16.6894,15.4321,15.3774,14.1389
5,15.7465, -inf, -inf,56.3064
6,12.7835,66.0229,66.0229,13.0932
7,11.9844,13.4681,13.9829,14.4714
8,13.1241,12.4699,12.3413,11.8157
9,13.0241,13.9231,13.93,13.0287
10,11.1746,18.4604,19.0562,13.4693
11,12.8086,13.8676,13.7875,13.788
12,8.95978,13.3698,11.5078,11.6203
13,9.96439,13.403,13.5472,12.0215
14,9.59863,11.438,11.2061,11.6815
15,8.52157,11.7805,11.5971,10.9473
16,9.51552,15.8061,12.1722,12.095
17,9.61241,8.35879,11.9072,11.3018
18,8.3988,13.7908,13.7908,11.9301
